dataset,model,apply_sortstats_at,branches,f1_mean,f1_std,acc_mean,rec_mean,time_mean,n_seeds
adult,random_forest,N/A,N/A,0.7906,0.003,0.8554,0.7764,0.0167,21
adult,sortstats_mlp,"[0, 1, 2]",both,0.7957,0.0053,0.8438,0.8112,8.0667,3
adult,sortstats_mlp,"[0, 1]",both,0.7744,0.007,0.8165,0.8124,4.73,3
adult,sortstats_mlp,[0],both,0.7708,0.0066,0.8065,0.825,5.08,3
adult,sortstats_mlp,"[1, 2]",both,0.7826,0.0162,0.8265,0.8137,1.9433,3
adult,sortstats_mlp,[1],both,0.7697,0.0137,0.8039,0.8278,1.0033,3
adult,sortstats_mlp,[2],both,0.7811,0.0107,0.8206,0.8226,1.2367,3
adult,sortstats_mlp,[],both,0.7722,0.0025,0.8071,0.8279,0.54,3
adult,xgboost,N/A,N/A,0.8173,0.0019,0.8747,0.7999,0.0083,21
california,random_forest,N/A,N/A,0.8988,0.0066,0.8988,0.8988,0.0088,21
california,sortstats_mlp,"[0, 1, 2]",both,0.8491,0.0049,0.8499,0.8499,1.5833,3
california,sortstats_mlp,"[0, 1]",both,0.8626,0.0038,0.8626,0.8626,1.2767,3
california,sortstats_mlp,[0],both,0.8533,0.0167,0.8537,0.8537,0.4033,3
california,sortstats_mlp,"[1, 2]",both,0.8596,0.0059,0.8598,0.8598,1.6033,3
california,sortstats_mlp,[1],both,0.8635,0.0018,0.8635,0.8635,0.87,3
california,sortstats_mlp,[2],both,0.8561,0.0074,0.8563,0.8564,0.8133,3
california,sortstats_mlp,[],both,0.8639,0.0073,0.864,0.864,0.2167,3
california,xgboost,N/A,N/A,0.9121,0.0039,0.9121,0.9121,0.0039,21
diabetes,random_forest,N/A,N/A,0.7375,0.0013,0.7379,0.7379,0.0162,21
diabetes,sortstats_mlp,"[0, 1, 2]",both,0.7501,0.0019,0.751,0.751,1.3633,3
diabetes,sortstats_mlp,"[0, 1]",both,0.7497,0.0009,0.7506,0.7506,1.47,3
diabetes,sortstats_mlp,[0],both,0.7525,0.0008,0.7528,0.7528,1.3233,3
diabetes,sortstats_mlp,"[1, 2]",both,0.7504,0.0008,0.7512,0.7512,1.4467,3
diabetes,sortstats_mlp,[1],both,0.75,0.0018,0.7513,0.7513,1.2067,3
diabetes,sortstats_mlp,[2],both,0.7514,0.0021,0.7519,0.7519,0.8233,3
diabetes,sortstats_mlp,[],both,0.753,0.0013,0.7536,0.7536,0.61,3
diabetes,xgboost,N/A,N/A,0.7512,0.001,0.7517,0.7517,0.0059,21
electricity,random_forest,N/A,N/A,0.905,0.0027,0.9076,0.9034,0.0142,21
electricity,sortstats_mlp,"[0, 1, 2]",both,0.7819,0.0092,0.7927,0.7772,2.6,3
electricity,sortstats_mlp,"[0, 1]",both,0.781,0.0114,0.7889,0.7797,1.23,3
electricity,sortstats_mlp,[0],both,0.7963,0.0028,0.8039,0.7928,0.8667,3
electricity,sortstats_mlp,"[1, 2]",both,0.7762,0.0035,0.7877,0.7711,1.7433,3
electricity,sortstats_mlp,[1],both,0.7815,0.0046,0.7893,0.7791,1.5833,3
electricity,sortstats_mlp,[2],both,0.7797,0.001,0.7881,0.7763,1.0833,3
electricity,sortstats_mlp,[],both,0.7896,0.0064,0.7975,0.7863,0.7067,3
electricity,xgboost,N/A,N/A,0.9027,0.0013,0.905,0.9023,0.0053,21
forest_cover_small,random_forest,N/A,N/A,0.8593,0.0081,0.8614,0.8614,0.0074,21
forest_cover_small,sortstats_mlp,"[0, 1, 2]",both,0.6788,0.0107,0.6842,0.6842,1.6267,3
forest_cover_small,sortstats_mlp,"[0, 1]",both,0.7107,0.0303,0.7104,0.7104,1.1633,3
forest_cover_small,sortstats_mlp,[0],both,0.7658,0.013,0.7713,0.7713,1.7733,3
forest_cover_small,sortstats_mlp,"[1, 2]",both,0.7146,0.0169,0.7191,0.7191,1.25,3
forest_cover_small,sortstats_mlp,[1],both,0.6981,0.0244,0.7039,0.7039,0.65,3
forest_cover_small,sortstats_mlp,[2],both,0.7368,0.0175,0.7382,0.7382,0.8733,3
forest_cover_small,sortstats_mlp,[],both,0.7667,0.0216,0.7726,0.7726,0.37,3
forest_cover_small,xgboost,N/A,N/A,0.8558,0.0096,0.8581,0.8581,0.029,21
miniboone,random_forest,N/A,N/A,0.9224,0.0015,0.9377,0.9202,0.2585,21
miniboone,sortstats_mlp,"[0, 1, 2]",both,0.9071,0.0028,0.9245,0.9099,12.5233,3
miniboone,sortstats_mlp,"[0, 1]",both,0.9141,0.0064,0.9293,0.9221,11.1733,3
miniboone,sortstats_mlp,[0],both,0.9176,0.0009,0.9321,0.9265,9.47,3
miniboone,sortstats_mlp,"[1, 2]",both,0.9073,0.0086,0.9254,0.9061,7.3033,3
miniboone,sortstats_mlp,[1],both,0.9161,0.0011,0.9314,0.9215,5.3567,3
miniboone,sortstats_mlp,[2],both,0.9103,0.0056,0.9262,0.9182,3.8467,3
miniboone,sortstats_mlp,[],both,0.9166,0.0017,0.9317,0.9227,2.1133,3
miniboone,xgboost,N/A,N/A,0.934,0.0016,0.9466,0.9356,0.0299,21
santander,random_forest,N/A,N/A,0.4735,0.0,0.8995,0.5,2.0859,21
santander,sortstats_mlp,"[0, 1, 2]",both,0.7184,0.0084,0.8816,0.7556,121.5767,3
santander,sortstats_mlp,"[0, 1]",both,0.711,0.0158,0.8677,0.7709,88.8367,3
santander,sortstats_mlp,[0],both,0.6757,0.0072,0.8194,0.7949,83.4867,3
santander,sortstats_mlp,"[1, 2]",both,0.7064,0.0042,0.8833,0.7278,4.37,3
santander,sortstats_mlp,[1],both,0.6988,0.0066,0.8747,0.7301,3.3967,3
santander,sortstats_mlp,[2],both,0.6645,0.034,0.8139,0.7713,2.2667,3
santander,sortstats_mlp,[],both,0.6355,0.0064,0.7746,0.7771,1.1733,3
santander,xgboost,N/A,N/A,0.6565,0.0062,0.917,0.6117,0.1424,21
