dataset,experiment_block,model,apply_sortstats_at,branches,steepness,lr,batch_size,seed,best_val_f1,final_val_acc,final_val_recall,total_time_min,best_epoch,epochs_trained,n_params
miniboone,bloque1,sortstats_mlp,"[0, 1]",both,5.0,0.001,1024.0,52,0.917564,0.932265,0.925057,9.89,64.0,94.0,4721.0
miniboone,bloque1,random_forest,N/A,N/A,,,,52,0.9203761695789037,0.9361088686426018,0.9177453444202953,0.2586,,,
miniboone,bloque1,xgboost,N/A,N/A,,,,52,0.9344683326621295,0.9468342751701072,0.936520743399395,0.0306,,,
diabetes,bloque1,sortstats_mlp,"[0, 1]",both,5.0,0.001,2048.0,52,0.749606,0.750902,0.750897,1.34,18.0,48.0,2865.0
diabetes,bloque1,random_forest,N/A,N/A,,,,52,0.7380901345631299,0.7385953744960747,0.738592271813322,0.0161,,,
diabetes,bloque1,xgboost,N/A,N/A,,,,52,0.7499101531111878,0.750406676568357,0.7504035289247253,0.0057,,,
electricity,bloque2,sortstats_mlp,[0],stats_only,5.0,0.001,1024.0,42,0.798099,0.805473,0.794728,0.98,149.0,179.0,1201.0
forest_cover_small,bloque1,sortstats_mlp,"[1, 2]",both,5.0,0.001,512.0,52,0.695593,0.70205,0.70205,1.3,49.0,79.0,3335.0
forest_cover_small,bloque1,random_forest,N/A,N/A,,,,52,0.8519052568895509,0.8541666666666666,0.8541666666666667,0.0075,,,
forest_cover_small,bloque1,xgboost,N/A,N/A,,,,52,0.854323443512104,0.8564814814814815,0.8564814814814815,0.029,,,
miniboone,bloque2,sortstats_mlp,[0],stats_only,5.0,0.001,1024.0,42,0.912426,0.926806,0.927571,2.22,106.0,136.0,2545.0
forest_cover_small,bloque2,sortstats_mlp,[0],stats_only,5.0,0.001,512.0,62,0.774978,0.77877,0.77877,0.42,140.0,170.0,2727.0
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,1024.0,42,0.716966,0.88445,0.746184,128.29,27.0,57.0,14481.0
diabetes,bloque1,sortstats_mlp,[],both,5.0,0.001,2048.0,62,0.754474,0.755004,0.755007,0.67,50.0,80.0,1489.0
diabetes,bloque1,random_forest,N/A,N/A,,,,62,0.7386195155621011,0.738949006294646,0.7389515211044577,0.0162,,,
diabetes,bloque1,xgboost,N/A,N/A,,,,62,0.7521170769278986,0.752528467359785,0.7525313524016548,0.0064,,,
electricity,bloque1,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,1024.0,52,0.77271,0.786384,0.766833,2.97,73.0,103.0,2193.0
electricity,bloque1,random_forest,N/A,N/A,,,,52,0.9014951599336085,0.9042259737393799,0.8995780452995219,0.0142,,,
electricity,bloque1,xgboost,N/A,N/A,,,,52,0.9019008715300738,0.9043363124793115,0.9010703970435514,0.0054,,,
forest_cover_small,bloque1,sortstats_mlp,[0],both,5.0,0.001,512.0,52,0.750843,0.75463,0.75463,1.77,149.0,179.0,4455.0
forest_cover_small,bloque1,random_forest,N/A,N/A,,,,52,0.8519052568895509,0.8541666666666666,0.8541666666666667,0.0075,,,
forest_cover_small,bloque1,xgboost,N/A,N/A,,,,52,0.854323443512104,0.8564814814814815,0.8564814814814815,0.029,,,
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,3.0,0.001,2048.0,62,0.715671,0.88355,0.745573,95.6,12.0,42.0,14481.0
miniboone,bloque1,sortstats_mlp,[0],both,5.0,0.001,1024.0,52,0.91834,0.932995,0.925231,9.08,86.0,116.0,4145.0
miniboone,bloque1,random_forest,N/A,N/A,,,,52,0.9203761695789037,0.9361088686426018,0.9177453444202953,0.2586,,,
miniboone,bloque1,xgboost,N/A,N/A,,,,52,0.9344683326621295,0.9468342751701072,0.936520743399395,0.0306,,,
electricity,bloque1,sortstats_mlp,"[0, 1]",both,5.0,0.001,1024.0,42,0.771474,0.786826,0.765139,1.01,19.0,49.0,2033.0
electricity,bloque1,random_forest,N/A,N/A,,,,42,0.907946812372887,0.910404943175549,0.9063777076360968,0.0143,,,
electricity,bloque1,xgboost,N/A,N/A,,,,42,0.9017436639398309,0.9040052962595168,0.901634274033603,0.0057,,,
santander,bloque2,sortstats_mlp,"[0, 1, 2]",sort_only,5.0,0.001,2048.0,52,0.722573,0.886025,0.75424,105.2,15.0,45.0,14257.0
miniboone,bloque2,sortstats_mlp,[0],sort_only,5.0,0.001,1024.0,52,0.91597,0.929997,0.929705,10.67,108.0,138.0,4017.0
miniboone,bloque1,sortstats_mlp,[1],both,5.0,0.001,1024.0,52,0.914969,0.93065,0.919173,4.59,67.0,97.0,2993.0
miniboone,bloque1,random_forest,N/A,N/A,,,,52,0.9203761695789037,0.9361088686426018,0.9177453444202953,0.2586,,,
miniboone,bloque1,xgboost,N/A,N/A,,,,52,0.9344683326621295,0.9468342751701072,0.936520743399395,0.0306,,,
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,3.0,0.001,2048.0,42,0.707376,0.8637,0.773539,87.34,7.0,37.0,14481.0
miniboone,bloque2,sortstats_mlp,[0],sort_only,5.0,0.001,1024.0,62,0.918998,0.933456,0.926429,7.6,66.0,96.0,4017.0
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,20.0,0.001,2048.0,62,0.717533,0.879625,0.758748,153.19,38.0,68.0,14481.0
adult,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,1024.0,62,0.789266,0.833862,0.81575,11.34,62.0,92.0,7889.0
adult,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,256.0,62,0.787761,0.832736,0.813984,6.67,12.0,42.0,7889.0
diabetes,bloque1,sortstats_mlp,[1],both,5.0,0.001,2048.0,42,0.748451,0.749699,0.749704,1.63,53.0,83.0,2065.0
diabetes,bloque1,random_forest,N/A,N/A,,,,42,0.735704006307031,0.7360492255463611,0.7360517853616293,0.0163,,,
diabetes,bloque1,xgboost,N/A,N/A,,,,42,0.7516109624977936,0.7521041092014994,0.7521072643610177,0.0057,,,
california,bloque1,sortstats_mlp,[0],both,5.0,0.001,512.0,42,0.848978,0.849079,0.849092,0.22,9.0,39.0,1457.0
california,bloque1,random_forest,N/A,N/A,,,,42,0.8936492000855176,0.8936531007751938,0.8936562447551052,0.0091,,,
california,bloque1,xgboost,N/A,N/A,,,,42,0.9120633290695102,0.9120639534883721,0.9120654586341383,0.0039,,,
adult,bloque2,sortstats_mlp,"[0, 1, 2]",stats_only,5.0,0.001,1024.0,62,0.784893,0.826492,0.82014,0.57,53.0,83.0,4145.0
miniboone,bloque2,sortstats_mlp,[0],stats_only,5.0,0.001,1024.0,62,0.913084,0.928805,0.919144,2.05,79.0,109.0,2545.0
santander,bloque1,sortstats_mlp,[1],both,5.0,0.001,2048.0,42,0.701622,0.88005,0.725066,2.58,13.0,43.0,7793.0
santander,bloque1,random_forest,N/A,N/A,,,,42,0.473545669913135,0.8995,0.5,2.2633,,,
santander,bloque1,xgboost,N/A,N/A,,,,42,0.6506191765264725,0.9161,0.6073349207271038,0.155,,,
santander,bloque1,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,2048.0,42,0.709376,0.872275,0.757977,162.79,39.0,69.0,14481.0
santander,bloque1,random_forest,N/A,N/A,,,,42,0.473545669913135,0.8995,0.5,1.9603,,,
santander,bloque1,xgboost,N/A,N/A,,,,42,0.6506191765264725,0.9161,0.6073349207271038,0.1264,,,
adult,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,512.0,62,0.78446,0.828744,0.813559,13.55,70.0,100.0,7889.0
miniboone,bloque1,sortstats_mlp,[],both,5.0,0.001,1024.0,62,0.917289,0.932149,0.924058,2.12,101.0,131.0,2417.0
miniboone,bloque1,random_forest,N/A,N/A,,,,62,0.9235147403627129,0.9385307346326837,0.921517354062702,0.2564,,,
miniboone,bloque1,xgboost,N/A,N/A,,,,62,0.9357792096741937,0.9479106600545881,0.9377283977368308,0.0286,,,
adult,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,1024.0,42,0.797254,0.844303,0.814552,11.94,67.0,97.0,7889.0
california,bloque1,sortstats_mlp,[],both,5.0,0.001,512.0,42,0.859775,0.859981,0.859999,0.28,60.0,90.0,1073.0
california,bloque1,random_forest,N/A,N/A,,,,42,0.8936492000855176,0.8936531007751938,0.8936562447551052,0.0091,,,
california,bloque1,xgboost,N/A,N/A,,,,42,0.9120633290695102,0.9120639534883721,0.9120654586341383,0.0039,,,
adult,bloque1,sortstats_mlp,[1],both,5.0,0.001,1024.0,62,0.774354,0.809602,0.828825,0.95,18.0,48.0,4497.0
adult,bloque1,random_forest,N/A,N/A,,,,62,0.7864268663327727,0.8518783908281298,0.773507400102615,0.0156,,,
adult,bloque1,xgboost,N/A,N/A,,,,62,0.8146535483874117,0.8726584092537619,0.7978661743356819,0.0089,,,
adult,bloque1,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,1024.0,52,0.797289,0.84676,0.809131,5.66,16.0,46.0,7889.0
adult,bloque1,random_forest,N/A,N/A,,,,52,0.7932221179293966,0.8575084450813799,0.7783806917568059,0.0166,,,
adult,bloque1,xgboost,N/A,N/A,,,,52,0.8189477491389114,0.8754222540689938,0.8023211895604374,0.0087,,,
adult,bloque1,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,1024.0,62,0.789741,0.836421,0.811276,11.29,62.0,92.0,7889.0
adult,bloque1,random_forest,N/A,N/A,,,,62,0.7864268663327727,0.8518783908281298,0.773507400102615,0.0156,,,
adult,bloque1,xgboost,N/A,N/A,,,,62,0.8146535483874117,0.8726584092537619,0.7978661743356819,0.0089,,,
forest_cover_small,bloque1,sortstats_mlp,[2],both,5.0,0.001,512.0,62,0.756049,0.756614,0.756614,0.68,61.0,91.0,2759.0
forest_cover_small,bloque1,random_forest,N/A,N/A,,,,62,0.8702365288481946,0.8720238095238095,0.8720238095238095,0.0075,,,
forest_cover_small,bloque1,xgboost,N/A,N/A,,,,62,0.8678880247026627,0.8700396825396826,0.8700396825396826,0.0289,,,
california,bloque1,sortstats_mlp,"[0, 1, 2]",both,5.0,0.001,512.0,62,0.844981,0.845446,0.845472,1.27,19.0,49.0,2193.0
california,bloque1,random_forest,N/A,N/A,,,,62,0.907943986112725,0.9079457364341085,0.9079480621911014,0.0088,,,
california,bloque1,xgboost,N/A,N/A,,,,62,0.9166666666666666,0.9166666666666666,0.9166668818418369,0.0038,,,
santander,bloque3,sortstats_mlp,"[0, 1, 2]",both,5.0,0.0001,2048.0,52,0.668675,0.81015,0.796583,190.18,53.0,83.0,14481.0
